Comment,Description,Designator,Footprint,LibRef,Quantity,Value

"CRCW040210K0FKED","0.125W, -55-155C, 1005, 50V, ±1%","A, B, R1","0402","CRCW0402xxxxFKED","3","10k"
"GRM155R71C103KA01D","Cap, 0.01 µF, 16 V, X7R","C1","0402","Cap","1","0.01 µF"
"503480-0600","0.5 mm Pitch Easy-On(TM) BackFlip(TM) Type FPC Connector, 1.0 mm Mated Height, Right Angle, SMT, Dual Contact, 6 Circuits, -40 to 85 degC, ELV and RoHS Compliant, Tape and Reel","J1","MOLX-503480-0600","CMP-1241-00113-1","1",""
"TMP102AIDRLT","Low Power Digital Temperature Sensor with SMBus and Two-Wire Serial Interface, 1.4 to 3.6 V, -40 to 125 degC, 6-Pin SOT (DRL), Green (RoHS & no Sb/Br), Tape and Reel","U1","DRL0006A_L","CMP-1685-00013-1","1",""
